ItemName_Base.CN =
{
-- ===== Medical =====
ItemName_Base.BoxOfAlcoholWipes = "Box of Alcohol Wipes"
ItemName_Base.BoxOfAlcoholBottles = "Box of Alcohol Bottles"
ItemName_Base.BoxOfPainkillers = "Box of Painkillers"
ItemName_Base.BoxOfSleepingPills = "Box of Sleeping Pills"
ItemName_Base.BoxOfCaffeinePills = "Box of Caffeine Pills"
ItemName_Base.BoxOfBetaBlockers = "Box of Beta Blockers"
ItemName_Base.BoxOfSterilizedBandages = "Box of Sterilized Bandages"

-- ===== Fire/Light =====
ItemName_Base.BoxOfMatches = "Box of Matches"
ItemName_Base.BoxOfLighters = "Box of Lighters"

-- ===== Ammo =====
ItemName_Base.CrateOf308 = "Crate of 7.62 Cartons"
ItemName_Base.CrateOf357 = "Crate of .357 Cartons"
ItemName_Base.CrateOf3030 = "Crate of .30-30 Cartons"
ItemName_Base.CrateOf556 = "Crate of 5.56 Cartons"
ItemName_Base.CrateOf38 = "Crate of .38 Cartons"
ItemName_Base.CrateOf44 = "Crate of .44 Cartons"
ItemName_Base.CrateOf45 = "Crate of .45 Cartons"
ItemName_Base.CrateOf9mm = "Crate of 9mm Cartons"
ItemName_Base.CrateShotgunShells = "Crate of Shotgun Shell Cartons"

-- ===== Materials =====
ItemName_Base.BoxOfSteelSheets = "Box of Steel Sheets"
ItemName_Base.BoxOfSmallSteelSheets = "Box of Small Steel Sheets"
ItemName_Base.BoxOfIronBars = "Box of Iron Bars"
ItemName_Base.BoxOfIronPipes = "Box of Iron Pipes"
ItemName_Base.BoxOfSteelBars = "Box of Steel Bars"
ItemName_Base.BoxOfSteelRods = "Box of Steel Rods"
ItemName_Base.BoxOfClay = "Box of Clay"
ItemName_Base.BoxOfStoneBlocks = "Box of Stone Blocks"
ItemName_Base.BoxOfStones = "Box of Stones"
ItemName_Base.BoxOfBricks = "Box of Bricks"
ItemName_Base.BoxOfGlue = "Box of Glue"
ItemName_Base.BoxOfWoodGlue = "Box of Wood Glue"
ItemName_Base.CrateOfPlanks = "Crate of Planks"
ItemName_Base.CrateOfTreeBranches = "Crate of Tree Branches"
ItemName_Base.CrateOfSaplings = "Crate of Saplings"
ItemName_Base.BoxOfEpoxy = "Box of Epoxy"

-- ===== Electrical =====
ItemName_Base.BoxOfScrapElectronics = "Box of Scrap Electronics"
ItemName_Base.BoxOfElectricalWire = "Box of Electrical Wire"
ItemName_Base.BoxOfRadioReceivers = "Box of Radio Receivers"
ItemName_Base.BoxOfRadioTransmitters = "Box of Radio Transmitters"
ItemName_Base.BoxOfReceivers = "Box of Receivers"
ItemName_Base.BoxOfAmplifiers = "Box of Amplifers"

-- ===== Scrap =====
ItemName_Base.BoxOfScrapMetal = "Box of Scrap Metal"
ItemName_Base.BoxOfCopperScrap = "Box of Copper Scrap"
ItemName_Base.BoxOfSteelScrap = "Box of Steel Scrap"
ItemName_Base.BoxOfIronScrap = "Box of Iron Scrap"
ItemName_Base.BoxOfAluminumScrap = "Box of Aluminum Scrap"
ItemName_Base.BoxOfBrassScrap = "Box of Brass Scrap"
ItemName_Base.BoxOfNutsAndBolts = "Box of Nuts and Bolts"

-- ===== Tools/Weapons =====
ItemName_Base.BoxOfCanOpeners = "Box of Can Openers"
ItemName_Base.BoxOfCrowbars = "Box of Crowbars"
ItemName_Base.BoxOfWeldingTorches = "Box of Welding Torches"
ItemName_Base.BoxOfWelderMasks = "Box of Welder Masks"
ItemName_Base.BoxOfForgedCrowbars = "Box of Forged Crowbars"
ItemName_Base.BoxOfClawHammers = "Box of Claw Hammers"
ItemName_Base.BoxOfScrapWood = "Box of Scrap Wood"
ItemName_Base.BoxOfWoodCharcoal = "Box of Wood Charcoal"
ItemName_Base.BoxOfZipTies = "Box of Zip Ties"
ItemName_Base.BoxOfScrewdrivers = "Box of Screwdrivers"
ItemName_Base.BoxOfHandiknifes = "Box of Handiknifes"
ItemName_Base.BoxOfScissors = "Box of Scissors"
ItemName_Base.BoxOfMultitools = "Box of Multitools"
ItemName_Base.BoxOfBallpeenHammers = "Box of Ball-peen Hammers"
ItemName_Base.BoxOfForgedBallpeenHammers = "Box of Forged Ball-peen Hammers"
ItemName_Base.BoxOfBaseballBats = "Box of Baseball Bats"
ItemName_Base.BoxOfMetalBaseballBats = "Box of Metal Baseball Bats"
ItemName_Base.BoxOfKatanas = "Box of Katanas"
ItemName_Base.BoxOfFireAxes = "Box of Fire Axes"
ItemName_Base.BoxOfWoodAxes = "Box of Wood Axes"
ItemName_Base.BoxOfHatchets = "Box of Hatchets"
ItemName_Base.BoxOfForgedHatchets = "Box of Forged Hatchets"

-- ===== Food =====
ItemName_Base.BoxOfGranolaBars = "Box of Granola Bars"
ItemName_Base.BoxOfDehydratedMeatSticks = "Box of Dehydrated Meat Sticks"
