
------ 3390258342 ::  ------

3390258342::EN::Sandbox_10YearsLater = "10 Years later",
3390258342::CN::Sandbox_10YearsLater = "十年后",
3390258342::EN::Sandbox_10YearsLater_advancedForaging = "Enable advanced search",
3390258342::CN::Sandbox_10YearsLater_advancedForaging = "启用高级搜寻",
3390258342::EN::Sandbox_10YearsLater_advancedForaging_tooltip = "By activating the search you can find objects by removing the vegetation",
3390258342::CN::Sandbox_10YearsLater_advancedForaging_tooltip = "激活高级搜寻后, 可以通过清理植被来发现物品",
3390258342::EN::Sandbox_10YearsLater_angleChance = "Chance to generate vegetation (corners)",
3390258342::CN::Sandbox_10YearsLater_angleChance = "生成植被的几率 (角落)",
3390258342::EN::Sandbox_10YearsLater_angleChance_tooltip = "1 = 100%, 3 = Low veg version",
3390258342::CN::Sandbox_10YearsLater_angleChance_tooltip = "1 = 100%, 3 = 低植被版本",
3390258342::EN::Sandbox_10YearsLater_angleVeg = "Enable vegetation on the corners",
3390258342::CN::Sandbox_10YearsLater_angleVeg = "启用角落植被",
3390258342::EN::Sandbox_10YearsLater_fenceChance = "Chance to generate vegetation (Fences)",
3390258342::CN::Sandbox_10YearsLater_fenceChance = "生成植被的几率 (围栏)",
3390258342::EN::Sandbox_10YearsLater_fenceChance_tooltip = "1 = 100%, 3 = Low veg version",
3390258342::CN::Sandbox_10YearsLater_fenceChance_tooltip = "1 = 100%, 3 = 低植被版本",
3390258342::EN::Sandbox_10YearsLater_fenceVeg = "Enable vegetation on the fences",
3390258342::CN::Sandbox_10YearsLater_fenceVeg = "启用围栏植被",
3390258342::EN::Sandbox_10YearsLater_indoorChance = "Chance to generate vegetation indoor",
3390258342::CN::Sandbox_10YearsLater_indoorChance = "室内生成植被的几率",
3390258342::EN::Sandbox_10YearsLater_indoorChance_tooltip = "1 = 100%, 3 = Low veg version",
3390258342::CN::Sandbox_10YearsLater_indoorChance_tooltip = "1 = 100%, 3 = 低植被版本",
3390258342::EN::Sandbox_10YearsLater_indoorVeg = "Enable indoor vegetation",
3390258342::CN::Sandbox_10YearsLater_indoorVeg = "启用室内植被",
3390258342::EN::Sandbox_10YearsLater_otherFenceChance = "Chance to generate vegetation (Others Fences)",
3390258342::CN::Sandbox_10YearsLater_otherFenceChance = "生成植被的几率 (其他围栏)",
3390258342::EN::Sandbox_10YearsLater_otherFenceChance_tooltip = "1 = 100%, 3 = Low veg version",
3390258342::CN::Sandbox_10YearsLater_otherFenceChance_tooltip = "1 = 100%, 3 = 低植被版本",
3390258342::EN::Sandbox_10YearsLater_otherFenceVeg = "Enable vegetation on the others fences",
3390258342::CN::Sandbox_10YearsLater_otherFenceVeg = "启用其他围栏植被",
3390258342::EN::Sandbox_10YearsLater_outdoorChance = "Chance to generate vegetation outdoor",
3390258342::CN::Sandbox_10YearsLater_outdoorChance = "室外生成植被的几率",
3390258342::EN::Sandbox_10YearsLater_outdoorChance_tooltip = "1 = 100%, 3 = Low veg version",
3390258342::CN::Sandbox_10YearsLater_outdoorChance_tooltip = "1 = 100%, 3 = 低植被版本",
3390258342::EN::Sandbox_10YearsLater_outdoorVeg = "Enable outdoor vegetation",
3390258342::CN::Sandbox_10YearsLater_outdoorVeg = "启用室外植被",
3390258342::EN::Sandbox_10YearsLater_roofChance = "Chance to generate vegetation (Roof)",
3390258342::CN::Sandbox_10YearsLater_roofChance = "生成植被的几率 (屋顶)",
3390258342::EN::Sandbox_10YearsLater_roofChance_tooltip = "1 = 100%, 3 = Low veg version",
3390258342::CN::Sandbox_10YearsLater_roofChance_tooltip = "1 = 100%, 3 = 低植被版本",
3390258342::EN::Sandbox_10YearsLater_roofVeg = "Enable rooftop vegetation",
3390258342::CN::Sandbox_10YearsLater_roofVeg = "启用屋顶植被",
3390258342::EN::Sandbox_10YearsLater_smallFenceAngleChance = "Chance to generate vegetation (Small fences corners)",
3390258342::CN::Sandbox_10YearsLater_smallFenceAngleChance = "生成植被的几率 (小围栏角落)",
3390258342::EN::Sandbox_10YearsLater_smallFenceAngleChance_tooltip = "1 = 100%, 3 = Low veg version",
