------ 3153010942 ------

RM_0108c5d1-11e6-43c2-90c1-0feeba2ed37d = "你很快就能回到外面玩耍了!",
RM_02bae59d-870c-4ad3-bb43-dd8b870446e6 = "现在,如果绷带脏了就该更换.",
RM_0a955928-1fc0-4225-a561-44df8628d02f = "我们用消毒剂清理一下伤口.",
RM_0aee39a1-9950-474b-aae0-dae80124d458 = "浸上消毒液...",
RM_0c157be1-f321-44e2-8917-ab224e3f4ad6 = "肯塔基医疗前线",
RM_0c345731-1411-4efb-8312-a529961f3351 = "非常同意...",
RM_0d5616f5-78ac-42e8-b069-b89cb598e268 = "一个小男孩在外面玩耍时摔倒了...",
RM_0f65574e-0f1f-4690-88a2-022746dee0f8 = "然后这样清理伤口!",
RM_0f8e07ad-b3f5-4b21-80f5-c64dc10f63cf = "那你需要什么?",
RM_0fa9366e-13f4-4467-aba6-5304a7eb4188 = "缝合针、线和持针器?",
RM_0fce3ea2-011c-4534-b11d-4178f44b0a7c = "发生了什么事?",
RM_138352a4-027b-4887-8aee-34fca2ca0047 = "这靠谱吗?",
RM_13e8bd88-0cd4-4e0c-bd76-17d5c684c508 = "我们会暂时让她住院休息.",
RM_1536de5b-09ea-4fec-9c34-fc34d42e7351 = "您正在观看的是,肯塔基医疗前线!",
RM_1b04adcb-10e8-4d10-af2b-10c4909eba3e = "看起来双臂骨折.",
RM_1f5d52d8-6514-4d21-812e-1d4e0327a291 = "勉强清醒,门罗医生,但她非常痛苦.",
RM_21901f79-fada-4ca9-9b3f-abb858981b77 = "我需要一些坚固且直的东西...",
RM_245cd3ec-befe-4c66-ae25-ef0d76a2ed75 = "全部完成了.",
RM_24775385-1fee-4feb-b398-a386ddc19367 = "这需要很长时间才能愈合.",
RM_2545a7a6-eb49-4276-a220-d5c4070905ff = "第3集: 骨折",
RM_265d9c66-1d2f-4b61-9b1a-bbba54b8160d = "没有贯穿伤口...",
RM_275ebc0e-2908-4b1b-9cbe-627c090d5e51 = "蒂莫西,现在跟医生说谢谢.",
RM_27da0158-8a6f-45ec-856e-4ca5ffc6fe29 = "先生,您的名字是?",
RM_292959d8-fcde-4158-a78b-7d8b3c236759 = "蒂米",
RM_2bdb434e-5455-45ef-9daf-2fe00d6c9467 = "直接撞到了树上!",
RM_2d4908a3-53e7-49a7-80f3-8c21efa14bf5 = "只需要取下脏的绷带,换上干净的.",
RM_2ef2d6f8-2307-4319-8e7e-f4c31c6e1e0d = "现在我们需要包扎...",
RM_34c42968-effe-44d7-8c14-225e00f6294b = "覆盖烧伤区域...",
RM_35a05ac0-148a-44f3-ac24-e93edc010416 = "护士,给她一些止痛药!",
RM_388c645c-3e90-4dca-9502-64a9c087147c = "时间是下午15:30...",
RM_39b66d48-daa0-4a53-ac0f-90271a0039e9 = "跟随门罗医生和工作人员,学习如何治疗皮肤撕裂伤,这是本期肯塔基医疗前线的内容.",
RM_3b9a4f93-87e8-45ca-af75-ee448277e539 = "这根树枝怎么样?",
