------ 2705406713 ------

ItemName_Base.127x99mm = "12.7×99毫米 (.50 BMG) 子弹",
ItemName_Base.127x99mmCarton = "12.7×99毫米 (.50 BMG) 弹药 (整箱)",
ItemName_Base.127x99mmCartonBig = "12.7x99毫米 (.50 BMG) 大弹药箱",
ItemName_Base.127x99mmClip = "12.7×99毫米 (.50 BMG) 弹链箱",
ItemName_Base.127x99mmHE = " (NOT USED)12.7×99毫米高爆弹 (.50 BMG HE)",
ItemName_Base.20x102mm = "20毫米弹药",
ItemName_Base.20x102mmCarton = "20毫米弹药 (整盒)",
ItemName_Base.20x102mmHE = "20毫米高爆弹药",
ItemName_Base.20x102mmHECarton = "20毫米高爆弹药 (整盒)",
ItemName_Base.762x63mm = "7.62毫米北约子弹",
ItemName_Base.762x63mmCarton = "7.62毫米北约子弹 (整箱)",
ItemName_Base.76mm = "76毫米弹药",
ItemName_Base.76mmCarton = "76毫米弹药 (整箱)",
ItemName_Base.76mmHE = "76毫米高爆弹药",
ItemName_Base.76mmHECarton = "76毫米高爆弹药 (整箱)",
ItemName_Base.Browning_M22 = "勃朗宁M2HB重机枪",
ItemName_Base.ClayTrackShoeMold = "粘土履带板模具",
ItemName_Base.ClayTrackShoeMoldUnfired = "未烧制的粘土履带板模具",
ItemName_Base.M113_Seat0 = "坦克座椅",
ItemName_Base.M113_Seat1 = "坦克座椅",
ItemName_Base.M113_Seat2 = "坦克座椅",
ItemName_Base.M113_Seat3 = "坦克座椅",
ItemName_Base.M1919A4_Coax2 = "M1919A4同轴机枪",
ItemName_Base.M41_76mm2 = "M41型76毫米炮",
ItemName_Base.M61_Vulcan2 = "M61火神机炮",
ItemName_Base.Military_PetrolCan_20L2 = "军用汽油罐 (20升)",
ItemName_Base.Military_Vehicle_Antenna = "军用车辆天线",
ItemName_Base.Military_Vehicle_Antenna2 = "军用车辆天线",
ItemName_Base.PC_ammunition = "PC 弹药",
ItemName_Base.PC_ammunitionCOAX = "PC 同轴机枪弹药",
ItemName_Base.SheetHighHardnessSteel = "高硬度钢板",
ItemName_Base.TankArmor2 = "坦克装甲",
ItemName_Base.TankTrack2 = "坦克履带",
ItemName_Base.TankTrackShoeNoTire = "坦克履带板 (无橡胶)",
ItemName_Base.TankTransmission2 = "坦克传动",
ItemName_Base.TankTurret2 = "坦克炮塔",
ItemName_Base.Tire_8_Lugs2 = "商用型轮胎A (8螺栓)",
ItemName_Base.Tire_8_LugsB2 = "商用型轮胎B (8螺栓)",
ItemName_Base.Tire_8_LugsC2 = "商用型轮胎C (8螺栓)",
ItemName_Base.Tire_Military_8_Lugs = "军用轮胎 (8螺栓)",
ItemName_Base.Tire_Military_8_Lugs2 = "军用轮胎 (8螺栓)",
ItemName_Base.Track_Connection_Tool = "坦克履带连接工具",
ItemName_Base.Track_Shoe = "坦克履带板",
